techno,https://open.spotify.com/playlist/4xiJK0W1UrLA1smkmEyqWz?si=a9bc9f39144c49a0
house,https://open.spotify.com/playlist/4vkgFYnfS19byzYbayOHe6?si=edaf7d28f7fb45dc
dubstep,https://open.spotify.com/playlist/5HrKScycmbHmWiMsdTBUEp?si=e1030099cd7e4039
trance,https://open.spotify.com/playlist/0GlSJ9qhh8nA5ylV5CwNzt?si=e7a017de97994cfe
drum-and-bass,https://open.spotify.com/playlist/56Vl9MwAj6nCLlrebyGM2M?si=2f7be3e7696c4aa7
edm,https://open.spotify.com/playlist/7yPFiWA92hrFBZRWU4ujrM?si=fd17ce1c32704afd
ambient,https://open.spotify.com/playlist/0blk0W1HYr7sFgFKlGmOSW?si=7bf2e9d35ecf4d28
breakbeat,https://open.spotify.com/playlist/7xX1wBo6Po277RDnIbLrbI?si=e12a1c8650a64a63
trap,https://open.spotify.com/playlist/33Q1320dvEjtPLcGlbk3vt?si=6ae09b38283c4715
progressive-house,https://open.spotify.com/playlist/05J3kZ4zDggBRKPn0F3rIm?si=1c2aea2ef50a405a
tech-house,https://open.spotify.com/playlist/6IoAcBBjcnK78Viz6qN965?si=62cc961794984783
disco,https://open.spotify.com/playlist/0ziejJaXLxD5UuRhhl5Drn?si=158e97099d4c4dae
synth-pop,https://open.spotify.com/playlist/4BQbQFn3ZE3v7LPXSBR3VE?si=54d93340578a4008
hardstyle,https://open.spotify.com/playlist/1xer7BpxyEXTdf4gtQqCn8?si=8297d57ac4d34c5b
downtempo,https://open.spotify.com/playlist/3CGS3MBYtg3YVYZzGEpN1G?si=813e22667d10461e
acid-house,https://open.spotify.com/playlist/2nISxIHjsvlBFSxsJFvOyX?si=2e357500dc6f4b15
jungle,https://open.spotify.com/playlist/0rI1kFgoKRj5uhCY4p3jIn?si=6e393d4d05be4647
electro-house,https://open.spotify.com/playlist/6YquI3r5tpg1f3Mrc2H6ol?si=852ab7bb346940d7
idm,https://open.spotify.com/playlist/5cy6Z0BnHixRK99oQJlsCs?si=c4faa97386d54d2c
deep-house,https://open.spotify.com/playlist/3DoV1CoV90GKMZfZIU5g3Y?si=9b5db8ecec894b02
future-bass,https://open.spotify.com/playlist/0ZelTWP4fLeM324O4vEJFI?si=622296b52ede4e61
electro,https://open.spotify.com/playlist/6W32nteU70Bp3Pm1DVjX12?si=327d07187c754dc2
